OM	w
0.023428942	-0.376347687
0.023433278	-0.380677965
0.023437613	-0.385008243
0.023441948	-0.389338521
0.023446283	-0.393668800
0.023450618	-0.397999078
0.023454953	-0.402329356
0.023459288	-0.406659634
0.023463623	-0.410989912
0.023467958	-0.415320190
0.023472293	-0.419650468
0.024702015	-0.359021758
0.024706350	-0.363352036
0.024710685	-0.367682314
0.024715021	-0.372012592
0.024719356	-0.376342870
0.024723691	-0.380673148
0.024728026	-0.385003427
0.024732361	-0.389333705
0.024736696	-0.393663983
0.024741031	-0.397994261
0.024745366	-0.402324539
0.024749701	-0.406654817
0.024754036	-0.410985095
0.024758372	-0.415315373
0.024762707	-0.419645651
0.024767042	-0.423975929
0.025992429	-0.359016941
0.025996764	-0.363347219
0.026001099	-0.367677497
0.026005434	-0.372007775
0.026009769	-0.376338054
0.026014104	-0.380668332
0.026018439	-0.384998610
0.026022774	-0.389328888
0.026027109	-0.393659166
0.026031444	-0.397989444
0.026035779	-0.402319722
0.026040115	-0.406650000
0.026044450	-0.410980278
0.026048785	-0.415310556
0.026053120	-0.419640835
0.026057455	-0.423971113
0.027282842	-0.359012124
0.027287177	-0.363342403
0.027291512	-0.367672681
0.027295847	-0.372002959
0.027300182	-0.376333237
0.027304517	-0.380663515
0.027308852	-0.384993793
0.027313187	-0.389324071
0.027317523	-0.393654349
0.027321858	-0.397984627
0.027326193	-0.402314905
0.027330528	-0.406645183
0.027334863	-0.410975462
0.027339198	-0.415305740
0.027343533	-0.419636018
0.027347868	-0.423966296
0.027352203	-0.428296574
0.028573255	-0.359007308
0.028577590	-0.363337586
0.028581925	-0.367667864
0.028586260	-0.371998142
0.028590595	-0.376328420
0.028594930	-0.380658698
0.028599266	-0.384988976
0.028603601	-0.389319254
0.028607936	-0.393649532
0.028612271	-0.397979811
0.028616606	-0.402310089
0.028620941	-0.406640367
0.028625276	-0.410970645
0.028629611	-0.415300923
0.028633946	-0.419631201
0.028638281	-0.423961479
0.028642617	-0.428291757
0.028646952	-0.432622035
0.029868003	-0.363332769
0.029872338	-0.367663047
0.029876674	-0.371993325
0.029881009	-0.376323603
0.029885344	-0.380653881
0.029889679	-0.384984159
0.029894014	-0.389314438
0.029898349	-0.393644716
0.029902684	-0.397974994
0.029907019	-0.402305272
0.029911354	-0.406635550
0.029915689	-0.410965828
0.029920024	-0.415296106
0.029924360	-0.419626384
0.029928695	-0.423956662
0.029933030	-0.428286940
0.029937365	-0.432617219
0.029941700	-0.436947497
0.031158417	-0.363327952
0.031162752	-0.367658230
0.031167087	-0.371988508
0.031171422	-0.376318786
0.031175757	-0.380649065
0.031180092	-0.384979343
0.031184427	-0.389309621
0.031188762	-0.393639899
0.031193097	-0.397970177
0.031197432	-0.402300455
0.031201768	-0.406630733
0.031206103	-0.410961011
0.031210438	-0.415291289
0.031214773	-0.419621567
0.031219108	-0.423951846
0.031223443	-0.428282124
0.031227778	-0.432612402
0.031232113	-0.436942680
0.032448830	-0.363323135
0.032453165	-0.367653414
0.032457500	-0.371983692
0.032461835	-0.376313970
0.032466170	-0.380644248
0.032470505	-0.384974526
0.032474840	-0.389304804
0.032479175	-0.393635082
0.032483511	-0.397965360
0.032487846	-0.402295638
0.032492181	-0.406625916
0.032496516	-0.410956194
0.032500851	-0.415286473
0.032505186	-0.419616751
0.032509521	-0.423947029
0.032513856	-0.428277307
0.032518191	-0.432607585
0.032522526	-0.436937863
0.032526862	-0.441268141
0.033739243	-0.363318319
0.033743578	-0.367648597
0.033747913	-0.371978875
0.033752248	-0.376309153
0.033756583	-0.380639431
0.033760919	-0.384969709
0.033765254	-0.389299987
0.033769589	-0.393630265
0.033773924	-0.397960543
0.033778259	-0.402290822
0.033782594	-0.406621100
0.033786929	-0.410951378
0.033791264	-0.415281656
0.033795599	-0.419611934
0.033799934	-0.423942212
0.033804269	-0.428272490
0.033808605	-0.432602768
0.033812940	-0.436933046
0.033817275	-0.441263324
0.033821610	-0.445593602
0.035033991	-0.367643780
0.035038326	-0.371974058
0.035042662	-0.376304336
0.035046997	-0.380634614
0.035051332	-0.384964892
0.035055667	-0.389295170
0.035060002	-0.393625449
0.035064337	-0.397955727
0.035068672	-0.402286005
0.035073007	-0.406616283
0.035077342	-0.410946561
0.035081677	-0.415276839
0.035086013	-0.419607117
0.035090348	-0.423937395
